etf_code,left_implementation,right_implementation,delta_cagr_left_minus_right,delta_sharpe_left_minus_right,delta_vol_left_minus_right,delta_mdd_left_minus_right,delta_option_leg_left_minus_right,delta_premium_capture_left_minus_right,delta_payoff_burden_left_minus_right,delta_p99_mtm_stress_left_minus_right,delta_tracking_error_abs_left_minus_right
510050,D28_Q100,D35_Q80,-0.004322286727880931,-0.040249154762424744,0.0018361733309831124,0.013444037191344793,-0.0038642759499201325,-0.023047363068701365,0.023047363068701254,0.01585483870967748,0.003988444131742486
510050,D28_Q100,D40_Q70,0.0026074884542079957,0.012615631595663257,0.0024667235541212112,0.00906202407604384,0.002812870820717954,0.044556280059143485,-0.04455628005914336,0.014783870967742058,0.0030197701235505914
510050,D28_Q100,D50_Q56,0.00982337740809136,0.07473442250705509,0.0008747844646403019,0.007443349164532487,0.010083835407585,0.11176097462834791,-0.111760974628348,0.02768193548387112,0.0044157607661621245
510050,D35_Q80,D40_Q70,0.006929775182088926,0.052864786358088,0.0006305502231380988,-0.004382013115300953,0.0066771467706380865,0.06760364312784485,-0.06760364312784461,-0.0010709677419354219,-0.0009686740081918943
510050,D35_Q80,D50_Q56,0.014145664135972291,0.11498357726947983,-0.0009613888663428105,-0.006000688026812306,0.013948111357505132,0.13480833769704928,-0.13480833769704925,0.011827096774193642,0.00042731663441963885
510050,D40_Q70,D50_Q56,0.007215888953883365,0.06211879091139183,-0.0015919390894809093,-0.001618674911511353,0.007270964586867047,0.06720469456920443,-0.06720469456920464,0.012898064516129064,0.0013959906426115332
510300,D28_Q100,D35_Q80,-0.0020705358402166585,-0.026165188929750505,0.002648645788299528,0.0024339128849385494,-0.0014975279314815076,-0.02269389329077233,0.022693893290772094,0.001752446747265643,0.016163062456854838
510300,D28_Q100,D40_Q70,-0.011391815471027078,-0.09553767983331973,0.0024850210113099708,0.016105713075378225,-0.010237669556534976,-0.10358955026796351,0.10358955026796346,0.013106505469200058,0.014337978359367565
510300,D28_Q100,D50_Q56,0.0065642402397645405,0.050247540065217366,-0.0004065106769084448,0.010974457195173315,0.006614339569209365,0.0409321532584145,-0.04093215325841437,0.029002187679908226,0.009243526900695298
510300,D35_Q80,D40_Q70,-0.00932127963081042,-0.06937249090356923,-0.00016362477698955713,0.013671800190439676,-0.008740141625053467,-0.08089565697719117,0.08089565697719137,0.011354058721934415,-0.0018250840974872728
510300,D35_Q80,D50_Q56,0.008634776079981199,0.07641272899496787,-0.0030551564652079727,0.008540544310234766,0.008111867500690872,0.06362604654918683,-0.06362604654918647,0.027249740932642583,-0.0069195355561595395
510300,D40_Q70,D50_Q56,0.01795605571079162,0.1457852198985371,-0.0028915316882184156,-0.00513125588020491,0.01685200912574434,0.144521703526378,-0.14452170352637783,0.015895682210708167,-0.005094451458672267
