date,159915__159915_DTE30_D40_Q100_Hold__daily_return,159915__159915_DTE30_OTM5up_Q100_Hold__daily_return,159915__159915_DTE30_OTM5up_Q50_Hold__daily_return,159915__159915_ETF_BuyHold__daily_return,510300__510300_DTE30_ATM_Q100_Hold__daily_return,510300__510300_DTE30_D40_Q100_Hold__daily_return,510300__510300_DTE30_D40_Q50_Hold__daily_return,510300__510300_DTE30_D40_Q70_Hold__daily_return,510300__510300_ETF_BuyHold__daily_return,510500__510500_DTE30_D40_Q100_Hold__daily_return,510500__510500_DTE30_OTM5up_Q100_Hold__daily_return,510500__510500_DTE30_OTM5up_Q50_Hold__daily_return,510500__510500_ETF_BuyHold__daily_return
2022-09-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-10-10,-0.01252365670323441,-0.01945440569560153,-0.022109012843298304,-0.02476361999099508,-0.011095208984015614,-0.011095208984015614,-0.01575960035550311,-0.013893843806908113,-0.02042399172699061,-0.0028019921218314092,-0.00866555571324723,-0.01010907752404877,-0.011552599334850311
2022-10-11,0.009899639778568226,0.011435779578242045,0.011719736511189405,0.012003693444136765,-0.0005230626495019708,-0.0005230626495019708,-0.0006574141434366743,-0.0006036735458627929,-0.0007917656373713777,0.0038108798706084634,0.005668603180418508,0.005933292204694851,0.006197981228971194
2022-10-12,0.019740714969395556,0.030332246624595438,0.03387050287434146,0.037408759124087476,0.012795574667509468,0.012795574667509468,0.014585848612148844,0.013869739034293093,0.01637612255678822,0.012316470915401778,0.020720400201535538,0.022327817137022588,0.023935234072509637
2022-10-13,0.004651370994923187,0.004098583357715402,0.0038083066304848145,0.0035180299032542273,-0.006045677808648509,-0.006045677808648509,-0.007310780692266039,-0.0068047395388190265,-0.00857588357588357,0.0013480063129209796,0.002924544666029094,0.0027513751174765844,0.0025782055689240746
2022-10-14,0.009656514898955137,0.0229988307025788,0.029685217279422638,0.03637160385626648,0.015985927185401705,0.015985927185401705,0.01952638430043352,0.018110201454420792,0.023066841415465333,0.007421312876674024,0.017444640753353058,0.02140875960177513,0.0253728784501972
2022-10-17,0.0018778941269057547,0.0015445495057506697,0.0001380252814165428,-0.0012684989429175841,0.0011768818196382647,0.0011768818196382647,0.00046033432514069883,0.0007469533229397252,-0.000256213169356867,0.0015075919977391994,0.003607813357092704,0.004061054312721302,0.004514295268349899
2022-10-18,0.0007846217792828458,0.004283798754502577,0.004470434516963384,0.004657070279424191,0.00028109744274806836,0.00028109744274806836,-0.0007564271884158424,-0.0003414173359502781,-0.0017939518195797532,0.0026685264014894017,0.004333970600594483,0.004413989294971055,0.004494007989347626
2022-10-19,0.0017422369569009,-0.0016635551786536862,-0.0046244450988085495,-0.007585335018963413,-0.009018137505520718,-0.009018137505520718,-0.012082881332991458,-0.010856983802003162,-0.015147625160462197,-0.0016548599941101916,-0.003077555725627623,-0.005764129975489862,-0.008450704225352101
2022-10-20,-0.002000087873425871,-0.00440081287713745,-0.006022062489524083,-0.007643312101910715,-0.0025521819705746074,-0.0025521819705746074,-0.0028402202866428805,-0.002725004960215571,-0.0031282586027111536,-0.0003246851423506225,-0.001879077756019365,-0.002610661872662068,-0.0033422459893047707
2022-10-21,-0.0016119904555351727,-0.004334435238323331,-0.005590409745819758,-0.0068463842533161845,-0.004703895284054016,-0.004703895284054016,-0.005228516679683881,-0.005018668121431935,-0.005753138075313746,0.0017436126788026307,0.0009581167338161833,0.00047905836690809167,0.0
2022-10-24,-0.0061092714325078346,-0.018059747766097645,-0.020878215115276322,-0.023696682464455,-0.02396821290420803,-0.02396821290420803,-0.024872060160678444,-0.02451052125809028,-0.025775907417148858,-0.0029009629755132327,-0.007422495336464774,-0.00798690159177362,-0.008551307847082468
2022-10-25,-0.0019757648729159527,-0.009437371561213936,-0.010235014112469243,-0.01103265666372455,-0.003964206408778259,-0.003964206408778259,-0.0041419304182120364,-0.004070840814438525,-0.004319654427645814,-0.00035939684686236983,-0.0033837107521486054,-0.005666149304706158,-0.007948587857263711
2022-10-26,0.009451917637383733,0.026858743154760223,0.027039367115086477,0.02721999107541273,0.006894162701157169,0.007211519477432926,0.007401855183401973,0.007325720901014354,0.00759219088937102,0.0020180758134753507,0.02088239153546323,0.0207548677759144,0.020627344016365567
2022-10-27,-0.009692779529058337,-0.01134231421539178,-0.013707647116383948,-0.016072980017376115,-0.002612058030019848,-0.004226431924894691,-0.005611601323050164,-0.005057533563787975,-0.006996770721205636,-0.0016210939824053971,-0.0020715635667298837,-0.002539038840321639,-0.0030065141139133944
2022-10-28,-0.02576390132004458,-0.029186586108758794,-0.03181183610073707,-0.03443708609271534,-0.014201450929302695,-0.01824808959060442,-0.020777161326467508,-0.019765532632122274,-0.023306233062330595,-0.021292574435626488,-0.028057643658818465,-0.029944385575430388,-0.03183112749204231
