date,comparison_name,rolling_window_days,rolling_correlation
2022-09-30,ETF_BuyHold_pair,63,
2022-10-10,ETF_BuyHold_pair,63,
2022-10-11,ETF_BuyHold_pair,63,
2022-10-12,ETF_BuyHold_pair,63,
2022-10-13,ETF_BuyHold_pair,63,
2022-10-14,ETF_BuyHold_pair,63,
2022-10-17,ETF_BuyHold_pair,63,
2022-10-18,ETF_BuyHold_pair,63,
2022-10-19,ETF_BuyHold_pair,63,
2022-10-20,ETF_BuyHold_pair,63,
2022-10-21,ETF_BuyHold_pair,63,
2022-10-24,ETF_BuyHold_pair,63,
2022-10-25,ETF_BuyHold_pair,63,
2022-10-26,ETF_BuyHold_pair,63,
2022-10-27,ETF_BuyHold_pair,63,
2022-10-28,ETF_BuyHold_pair,63,
2022-10-31,ETF_BuyHold_pair,63,
2022-11-01,ETF_BuyHold_pair,63,
2022-11-02,ETF_BuyHold_pair,63,
2022-11-03,ETF_BuyHold_pair,63,
2022-11-04,ETF_BuyHold_pair,63,
2022-11-07,ETF_BuyHold_pair,63,
2022-11-08,ETF_BuyHold_pair,63,
2022-11-09,ETF_BuyHold_pair,63,
2022-11-10,ETF_BuyHold_pair,63,
2022-11-11,ETF_BuyHold_pair,63,
2022-11-14,ETF_BuyHold_pair,63,
2022-11-15,ETF_BuyHold_pair,63,
2022-11-16,ETF_BuyHold_pair,63,
2022-11-17,ETF_BuyHold_pair,63,
2022-11-18,ETF_BuyHold_pair,63,
2022-11-21,ETF_BuyHold_pair,63,
2022-11-22,ETF_BuyHold_pair,63,
2022-11-23,ETF_BuyHold_pair,63,
2022-11-24,ETF_BuyHold_pair,63,
2022-11-25,ETF_BuyHold_pair,63,
2022-11-28,ETF_BuyHold_pair,63,
2022-11-29,ETF_BuyHold_pair,63,
2022-11-30,ETF_BuyHold_pair,63,
2022-12-01,ETF_BuyHold_pair,63,
2022-12-02,ETF_BuyHold_pair,63,
2022-12-05,ETF_BuyHold_pair,63,
2022-12-06,ETF_BuyHold_pair,63,
2022-12-07,ETF_BuyHold_pair,63,
2022-12-08,ETF_BuyHold_pair,63,
2022-12-09,ETF_BuyHold_pair,63,
2022-12-12,ETF_BuyHold_pair,63,
2022-12-13,ETF_BuyHold_pair,63,
2022-12-14,ETF_BuyHold_pair,63,
2022-12-15,ETF_BuyHold_pair,63,
2022-12-16,ETF_BuyHold_pair,63,
2022-12-19,ETF_BuyHold_pair,63,
2022-12-20,ETF_BuyHold_pair,63,
2022-12-21,ETF_BuyHold_pair,63,
2022-12-22,ETF_BuyHold_pair,63,
2022-12-23,ETF_BuyHold_pair,63,
2022-12-26,ETF_BuyHold_pair,63,
2022-12-27,ETF_BuyHold_pair,63,
2022-12-28,ETF_BuyHold_pair,63,
2022-12-29,ETF_BuyHold_pair,63,
2022-12-30,ETF_BuyHold_pair,63,
2023-01-03,ETF_BuyHold_pair,63,
2023-01-04,ETF_BuyHold_pair,63,0.9532669704853034
2023-01-05,ETF_BuyHold_pair,63,0.9544026204324694
2023-01-06,ETF_BuyHold_pair,63,0.952210109969634
2023-01-09,ETF_BuyHold_pair,63,0.9522653508737896
2023-01-10,ETF_BuyHold_pair,63,0.9570350092978066
2023-01-11,ETF_BuyHold_pair,63,0.9564261693470106
2023-01-12,ETF_BuyHold_pair,63,0.9546220256920372
2023-01-13,ETF_BuyHold_pair,63,0.9555035540829564
2023-01-16,ETF_BuyHold_pair,63,0.9442637817867348
2023-01-17,ETF_BuyHold_pair,63,0.9424097701400865
2023-01-18,ETF_BuyHold_pair,63,0.9417572602398705
2023-01-19,ETF_BuyHold_pair,63,0.9406480738061871
2023-01-20,ETF_BuyHold_pair,63,0.9353602076542493
2023-01-30,ETF_BuyHold_pair,63,0.9332975129376608
2023-01-31,ETF_BuyHold_pair,63,0.9356990822391401
2023-02-01,ETF_BuyHold_pair,63,0.9340479826378619
2023-02-02,ETF_BuyHold_pair,63,0.9302341550123945
2023-02-03,ETF_BuyHold_pair,63,0.9299903120812182
2023-02-06,ETF_BuyHold_pair,63,0.9182699005971335
2023-02-07,ETF_BuyHold_pair,63,0.9181100567148616
2023-02-08,ETF_BuyHold_pair,63,0.9172072747556276
2023-02-09,ETF_BuyHold_pair,63,0.9063628200067725
2023-02-10,ETF_BuyHold_pair,63,0.9073574716746067
2023-02-13,ETF_BuyHold_pair,63,0.9063896357552667
2023-02-14,ETF_BuyHold_pair,63,0.9060126796530948
2023-02-15,ETF_BuyHold_pair,63,0.9114533001511361
2023-02-16,ETF_BuyHold_pair,63,0.8997995078027533
2023-02-17,ETF_BuyHold_pair,63,0.9039474878932663
2023-02-20,ETF_BuyHold_pair,63,0.9101065994292858
2023-02-21,ETF_BuyHold_pair,63,0.9102730545826506
2023-02-22,ETF_BuyHold_pair,63,0.9118030957737723
2023-02-23,ETF_BuyHold_pair,63,0.9115124209057839
2023-02-24,ETF_BuyHold_pair,63,0.9119131218059647
2023-02-27,ETF_BuyHold_pair,63,0.9134723287193057
2023-02-28,ETF_BuyHold_pair,63,0.9133338014978515
2023-03-01,ETF_BuyHold_pair,63,0.913756102284981
2023-03-02,ETF_BuyHold_pair,63,0.9142561167136843
2023-03-03,ETF_BuyHold_pair,63,0.9114393504330902
2023-03-06,ETF_BuyHold_pair,63,0.8942213191437371
2023-03-07,ETF_BuyHold_pair,63,0.8965280494408948
2023-03-08,ETF_BuyHold_pair,63,0.9230154585890048
2023-03-09,ETF_BuyHold_pair,63,0.9213180862632543
2023-03-10,ETF_BuyHold_pair,63,0.9182260252543023
2023-03-13,ETF_BuyHold_pair,63,0.9204846069779932
2023-03-14,ETF_BuyHold_pair,63,0.9216531642804282
2023-03-15,ETF_BuyHold_pair,63,0.9215371394771936
2023-03-16,ETF_BuyHold_pair,63,0.9210536598298805
2023-03-17,ETF_BuyHold_pair,63,0.9191727082510651
2023-03-20,ETF_BuyHold_pair,63,0.9212640485634149
2023-03-21,ETF_BuyHold_pair,63,0.9238750735803587
2023-03-22,ETF_BuyHold_pair,63,0.9257503867846123
2023-03-23,ETF_BuyHold_pair,63,0.9262751201122366
2023-03-24,ETF_BuyHold_pair,63,0.9220565508149888
2023-03-27,ETF_BuyHold_pair,63,0.9177045837470251
2023-03-28,ETF_BuyHold_pair,63,0.9178555882987509
2023-03-29,ETF_BuyHold_pair,63,0.9195626286258256
2023-03-30,ETF_BuyHold_pair,63,0.9214884748737264
2023-03-31,ETF_BuyHold_pair,63,0.9237927283386868
2023-04-03,ETF_BuyHold_pair,63,0.917766531280895
2023-04-04,ETF_BuyHold_pair,63,0.9223106174944178
2023-04-06,ETF_BuyHold_pair,63,0.9224021399395436
2023-04-07,ETF_BuyHold_pair,63,0.9230661691240607
2023-04-10,ETF_BuyHold_pair,63,0.9211957876002853
2023-04-11,ETF_BuyHold_pair,63,0.9218138296934623
2023-04-12,ETF_BuyHold_pair,63,0.9138025374526678
2023-04-13,ETF_BuyHold_pair,63,0.9060635975642136
2023-04-14,ETF_BuyHold_pair,63,0.9061006476923258
2023-04-17,ETF_BuyHold_pair,63,0.912172187002422
2023-04-18,ETF_BuyHold_pair,63,0.9124424020632498
2023-04-19,ETF_BuyHold_pair,63,0.9138497712536933
2023-04-20,ETF_BuyHold_pair,63,0.9088427427799094
2023-04-21,ETF_BuyHold_pair,63,0.9456353418713733
2023-04-24,ETF_BuyHold_pair,63,0.9476562291820537
2023-04-25,ETF_BuyHold_pair,63,0.9464726326532228
2023-04-26,ETF_BuyHold_pair,63,0.9467136531559067
2023-04-27,ETF_BuyHold_pair,63,0.945270090352095
2023-04-28,ETF_BuyHold_pair,63,0.9490781298895484
2023-05-04,ETF_BuyHold_pair,63,0.9448682704853187
2023-05-05,ETF_BuyHold_pair,63,0.9457803233627402
2023-05-08,ETF_BuyHold_pair,63,0.9473637831731292
2023-05-09,ETF_BuyHold_pair,63,0.9470139879735892
2023-05-10,ETF_BuyHold_pair,63,0.9443918282226925
2023-05-11,ETF_BuyHold_pair,63,0.9442282330112447
2023-05-12,ETF_BuyHold_pair,63,0.9464180447975014
2023-05-15,ETF_BuyHold_pair,63,0.9491345330996239
2023-05-16,ETF_BuyHold_pair,63,0.9488288216850195
2023-05-17,ETF_BuyHold_pair,63,0.9487142276351734
2023-05-18,ETF_BuyHold_pair,63,0.948653062152222
