date,510050__510050_DTE30_ATM_Q100_Hold__daily_return,510050__510050_DTE30_D40_Q100_Hold__daily_return,510050__510050_DTE30_D40_Q50_Hold__daily_return,510050__510050_DTE30_D40_Q70_Hold__daily_return,510050__510050_ETF_BuyHold__daily_return
2022-09-30,0.0,0.0,0.0,0.0,0.0
2022-10-10,-0.012350182496537965,-0.01698419421136088,-0.020567568803793623,-0.019134218966820528,-0.024150943396226365
2022-10-11,-0.001982439248149337,-0.002451816020859199,-0.002772698420329067,-0.0026443454605411198,-0.0030935808197989356
2022-10-12,0.004698545880269078,0.005338126023208822,0.005772243771883678,0.005598596672413736,0.006206361520558534
2022-10-13,-0.008250538984518774,-0.009702766631215276,-0.010633958489084827,-0.010261481745937006,-0.011565150346954378
2022-10-14,0.018823574875196813,0.021871539959506192,0.022831245798785815,0.022447363463073966,0.02379095163806544
2022-10-17,0.0009407227279212282,0.00026423968305877565,-0.0002488325394229274,-4.360365043024625e-05,-0.0007619047619046304
2022-10-18,-0.0028195158011680155,-0.004453149387066424,-0.005085896081257257,-0.004832797403580924,-0.005718642775448091
2022-10-19,-0.01621093090252823,-0.01842297757736,-0.01898909615064326,-0.018762648721329954,-0.019555214723926517
2022-10-20,-0.0045602060630661745,-0.004750116730256826,-0.004917099819958248,-0.004850306584077679,-0.005084082909659671
2022-10-21,-0.006159457893791576,-0.006480126838199984,-0.006581258387653444,-0.00654080576787206,-0.006682389937106903
2022-10-24,-0.033699623710776505,-0.034252326106906095,-0.03453811398340956,-0.034423798832808175,-0.03482390185991302
2022-10-25,-0.00308662859664377,-0.0031544337355688956,-0.0032172332679484827,-0.003192113454996648,-0.00328003280032807
2022-10-26,0.002731848141705351,0.0029315801776845785,0.0031112034989615456,0.0030393541704507587,0.0032908268202385127
2022-10-27,-0.004020305743841712,-0.0052499077062123645,-0.006724994853516186,-0.006134959994594657,-0.008200082000820008
2022-10-28,-0.015075218233863485,-0.017935643694378056,-0.020129458887288176,-0.019251932810124127,-0.022323274080198297
2022-10-31,-0.010580348641724746,-0.01171364250156215,-0.012622148946341338,-0.012258746368429663,-0.013530655391120527
2022-11-01,0.031700067654284236,0.037001822605275736,0.04057549338579247,0.03914602507358578,0.04414916416630921
2022-11-02,0.006022305760206459,0.007251013411056606,0.007730597017515217,0.007538763574931773,0.008210180623973828
2022-11-03,-0.005741917777325689,-0.0084596240648811,-0.010540886951007411,-0.009708381796556887,-0.012622149837133723
2022-11-04,0.01449913149587978,0.020509134337742374,0.026955598096706224,0.024377012593120684,0.03340206185567007
2022-11-07,0.0017763957418905907,0.0018087266720985262,0.0027000536792257668,0.002343522876374871,0.0035913806863530073
2022-11-08,-0.0014105363965644102,-0.002046189231339368,-0.004601623442707592,-0.0035794497581603025,-0.007157057654075816
2022-11-09,-0.001372170853593424,-0.0031760861139061847,-0.00539260853552731,-0.00450599956687886,-0.007609130957148436
2022-11-10,0.0004041342039973195,0.0010486246863754545,0.001331414845205492,0.0012182987816734769,0.0016142050040355294
2022-11-11,0.007877433437656789,0.013738709329240262,0.021575237017561366,0.018440625942232926,0.02941176470588247
2022-11-14,0.0016433356097538265,0.0025435805769167263,0.005381379329554181,0.004246259828499199,0.008219178082191636
2022-11-15,0.0011204367238264457,0.002537127189476518,0.010779433159955776,0.007482510771764074,0.019021739130435034
2022-11-16,0.00015988325005311665,0.00015816915408084498,-0.0018256773277214866,-0.001032138735000554,-0.003809523809523818
2022-11-17,-0.0011989326861443494,-0.000316288281112187,-0.003026212974208131,-0.0019422430969697536,-0.005736137667304075
2022-11-18,0.0008402602958343941,0.0005536796143192912,-0.0016462371159173261,-0.0007662704238226795,-0.0038461538461539435
2022-11-21,7.995760487888859e-05,0.00047431990529744894,-0.006133496418007589,-0.003490369888685575,-0.012741312741312627
2022-11-22,0.0016789754555974756,0.0013827771783769816,0.003233430044018326,0.0024931688977617886,0.005084082909659671
2022-11-23,-0.0018556557694358045,-0.0010576513739665172,0.00044393695893124585,-0.00015669837422785902,0.001945525291829009
2022-11-24,-0.0031474544524972004,-0.004040399409798834,-0.005321170578685919,-0.004808862111131085,-0.0066019417475730036
2022-11-25,0.00647070500377489,0.0077625125216838065,0.009158816855056151,0.008600295121707213,0.010555121188428496
2022-11-28,-0.010340788028078585,-0.012154040698889146,-0.014781082244995802,-0.01373026562655314,-0.01740812379110246
2022-11-29,0.019488842490920755,0.024920624773385525,0.03372015490637781,0.030200342853180896,0.04251968503937009
