etf_code,sleeve_name,classification,annualized_return_cagr,sharpe_daily_mean,max_drawdown,option_leg_annualized_pnl_contribution,premium_capture_ratio_agg,payoff_burden_agg,p99_short_call_mtm_loss,beats_buyhold_return,beats_buyhold_sharpe,improves_buyhold_mdd,option_leg_positive,passes_execution_check,recommendation_status,reason,caveat
159915,159915_ETF_BuyHold,Pure ETF Preferred,0.18822376380574712,0.7004656152472182,0.4087504927079215,0.0,,,0.0,True,True,True,False,True,backup_for_portfolio_layer,ETF-only baseline for comparison.,No option leg.
159915,159915_DTE30_D40_Q100_Hold,Stress Test Only,0.07760727651190313,0.5115217665496902,0.287576594189513,-0.13081587012678944,-0.5658357960301041,1.5403357960301038,0.23306832298136715,False,False,True,False,True,diagnostic_only,Q100 is retained as a full-coverage stress test.,Do not promote by default even when in-sample metrics look good.
159915,159915_DTE30_OTM5up_Q50_Hold,Defensive Overlay,0.1458405830155729,0.6772655883978141,0.3767935547231087,-0.05529988657033242,-0.7750622143676487,1.7495622143676488,0.10454037267080774,False,False,True,False,True,primary_for_portfolio_layer,"Net option leg is not positive, but drawdown improves enough with similar Sharpe.","Use as risk-control sleeve, not income enhancement."
159915,159915_DTE30_OTM5up_Q100_Hold,Stress Test Only,0.09490796837785953,0.5539235082157753,0.3469651955591079,-0.11059977314066484,-0.7750622143676487,1.7495622143676488,0.20908074534161547,False,False,True,False,True,diagnostic_only,Q100 is retained as a full-coverage stress test.,Do not promote by default even when in-sample metrics look good.
510300,510300_ETF_BuyHold,Pure ETF Preferred,0.07206679597968213,0.4842954728074646,0.24185493460166463,0.0,,,0.0,True,True,True,False,True,rejected,ETF-only baseline for comparison.,No option leg.
510300,510300_DTE30_ATM_Q100_Hold,Stress Test Only,0.04691337881248048,0.5275747319844527,0.12872751085909362,-0.03442416956793843,-0.14788333856072913,1.1223833385607294,0.11354058721934411,False,True,True,False,True,diagnostic_only,Q100 is retained as a full-coverage stress test.,Do not promote by default even when in-sample metrics look good.
510300,510300_DTE30_D40_Q50_Hold,Positive Carry Overlay,0.08054876584824222,0.6379327148715201,0.18455851981580018,0.0018164707300969433,0.038207508654258704,0.9362924913457412,0.056770293609672055,True,True,True,True,True,backup_for_portfolio_layer,Net option leg is positive while Sharpe and drawdown are at least as good as BuyHold.,Still sample-limited and not an arbitrage claim.
510300,510300_DTE30_D40_Q70_Hold,Positive Carry Overlay,0.0831563478544819,0.7118808026857215,0.1645389660962434,0.0025430590221357085,0.03820750865425882,0.9362924913457412,0.07947841105354088,True,True,True,True,True,primary_for_portfolio_layer,Net option leg is positive while Sharpe and drawdown are at least as good as BuyHold.,Still sample-limited and not an arbitrage claim.
510300,510300_DTE30_D40_Q100_Hold,Stress Test Only,0.08620899906691326,0.8211842168903551,0.13905851693109694,0.0036329414601938867,0.038207508654258704,0.9362924913457412,0.11354058721934411,True,True,True,True,True,diagnostic_only,Q100 is retained as a full-coverage stress test.,Do not promote by default even when in-sample metrics look good.
510500,510500_ETF_BuyHold,Pure ETF Preferred,0.12478696608590134,0.6464998386146736,0.30162162162162043,0.0,,,0.0,True,True,True,False,True,backup_for_portfolio_layer,ETF-only baseline for comparison.,No option leg.
510500,510500_DTE30_D40_Q100_Hold,Stress Test Only,0.028163305795789517,0.2668966651069528,0.23475573483077594,-0.10334137212614634,-0.5992959238593072,1.5737959238593073,0.12783448775363254,False,False,True,False,True,diagnostic_only,Q100 is retained as a full-coverage stress test.,Do not promote by default even when in-sample metrics look good.
510500,510500_DTE30_OTM5up_Q50_Hold,Defensive Overlay,0.10330699909116015,0.6124900557028516,0.28407869067403346,-0.02500092580378619,-0.6692513705718167,1.6437513705718168,0.05500103885310626,False,False,True,False,True,primary_for_portfolio_layer,"Net option leg is not positive, but drawdown improves enough with similar Sharpe.","Use as risk-control sleeve, not income enhancement."
510500,510500_DTE30_OTM5up_Q100_Hold,Stress Test Only,0.07959913962858578,0.5325391702951904,0.2685980036455855,-0.05000185160757238,-0.6692513705718167,1.6437513705718168,0.11000207770621252,False,False,True,False,True,diagnostic_only,Q100 is retained as a full-coverage stress test.,Do not promote by default even when in-sample metrics look good.
