trade_date,etf_code,open,high,low,close,adj_close,volume,amount
2022-09-19,159922,6.069,6.105,5.985,6.03,6.03,801390.07,483450.198
2022-09-20,159922,6.031,6.124,6.031,6.059,6.059,685253.02,416541.432
2022-09-21,159922,6.063,6.117,5.995,6.081,6.081,718924.24,435416.347
2022-09-22,159922,6.064,6.133,6.051,6.083,6.083,563612.02,343620.44
2022-09-23,159922,6.091,6.097,5.947,6.05,6.05,1112701.53,670809.253
2022-09-26,159922,5.982,6.045,5.913,5.92,5.92,1107570.81,662858.31
2022-09-27,159922,5.918,6.038,5.918,6.03,6.03,1008340.23,602385.983
2022-09-28,159922,6.036,6.036,5.887,5.892,5.892,817311.26,485219.03
2022-09-29,159922,5.939,5.977,5.854,5.895,5.895,1290871.88,766197.029
2022-09-30,159922,5.891,5.924,5.816,5.826,5.826,811847.99,476483.912
2022-10-10,159922,5.82,5.877,5.729,5.745,5.745,1109578.68,645459.188
2022-10-11,159922,5.748,5.82,5.727,5.787,5.787,1153664.69,666050.324
2022-10-12,159922,5.787,5.936,5.694,5.922,5.922,1138631.6,658701.237
2022-10-13,159922,5.92,5.985,5.895,5.939,5.939,1005487.7,597274.507
2022-10-14,159922,5.976,6.12,5.976,6.095,6.095,1100575.09,667715.673
2022-10-17,159922,6.093,6.142,6.06,6.12,6.12,959486.32,585303.92
2022-10-18,159922,6.135,6.186,6.103,6.145,6.145,1071000.56,657447.216
2022-10-19,159922,6.146,6.16,6.089,6.099,6.099,849232.16,520370.253
2022-10-20,159922,6.086,6.163,5.994,6.069,6.069,1103040.58,669935.432
2022-10-21,159922,6.069,6.114,6.035,6.071,6.071,888028.02,539576.16
2022-10-24,159922,6.072,6.196,5.964,6.023,6.023,1483918.01,900660.491
2022-10-25,159922,5.986,6.047,5.9,5.982,5.982,1266160.06,756573.67
2022-10-26,159922,5.982,6.144,5.982,6.088,6.088,1178868.11,715352.689
2022-10-27,159922,6.102,6.147,6.075,6.083,6.083,1072066.06,655741.903
2022-10-28,159922,6.084,6.084,5.864,5.896,5.896,1171805.79,701417.572
2022-10-31,159922,5.868,5.984,5.859,5.918,5.918,1142063.71,675038.426
2022-11-01,159922,5.91,6.076,5.9,6.076,6.076,1477850.96,884330.163
2022-11-02,159922,6.06,6.148,6.025,6.109,6.109,1074988.34,654809.92
2022-11-03,159922,6.069,6.137,6.063,6.114,6.114,872757.41,533332.536
2022-11-04,159922,6.122,6.292,6.119,6.254,6.254,1039371.05,645517.997
2022-11-07,159922,6.227,6.292,6.216,6.256,6.256,790310.85,494551.271
2022-11-08,159922,6.255,6.264,6.221,6.264,6.264,964099.93,601383.943
2022-11-09,159922,6.266,6.311,6.238,6.242,6.242,871630.86,545331.993
2022-11-10,159922,6.237,6.244,6.181,6.223,6.223,877524.49,544699.54
2022-11-11,159922,6.301,6.391,6.25,6.253,6.253,1268088.56,800828.318
2022-11-14,159922,6.269,6.318,6.228,6.244,6.244,1033267.99,648064.886
2022-11-15,159922,6.243,6.357,6.234,6.348,6.348,977221.25,617664.1
2022-11-16,159922,6.343,6.379,6.319,6.329,6.329,1166557.56,739856.254
2022-11-17,159922,6.328,6.338,6.268,6.33,6.33,877960.94,552511.644
2022-11-18,159922,6.334,6.383,6.311,6.326,6.326,1165783.47,739518.033
2022-11-21,159922,6.282,6.327,6.248,6.317,6.317,1199782.39,754593.782
2022-11-22,159922,6.316,6.316,6.222,6.249,6.249,1064331.85,667697.648
2022-11-23,159922,6.201,6.267,6.169,6.245,6.245,1587289.31,986812.023
2022-11-24,159922,6.253,6.277,6.213,6.245,6.245,1017112.48,635090.815
2022-11-25,159922,6.237,6.237,6.177,6.22,6.22,1032942.13,641361.968
2022-11-28,159922,6.094,6.187,6.086,6.177,6.177,1421381.95,873131.188
2022-11-29,159922,6.182,6.308,6.182,6.285,6.285,1052402.53,658365.585
2022-11-30,159922,6.305,6.305,6.24,6.265,6.265,1006018.9,631841.472
2022-12-01,159922,6.332,6.363,6.3,6.301,6.301,1263027.16,799926.503
2022-12-02,159922,6.302,6.338,6.282,6.286,6.286,974641.12,615096.34
2022-12-05,159922,6.353,6.354,6.299,6.332,6.332,1144375.67,723864.463
2022-12-06,159922,6.334,6.377,6.302,6.328,6.328,1363515.59,864461.153
2022-12-07,159922,6.328,6.366,6.3,6.319,6.319,1033890.25,654006.743
2022-12-08,159922,6.321,6.326,6.285,6.301,6.301,1205073.85,759727.606
2022-12-09,159922,6.31,6.34,6.272,6.32,6.32,1078589.06,679742.458
2022-12-12,159922,6.321,6.321,6.264,6.293,6.293,812321.24,510774.111
2022-12-13,159922,6.302,6.302,6.246,6.257,6.257,865162.26,541657.472
2022-12-14,159922,6.257,6.279,6.21,6.226,6.226,1048490.39,655337.651
2022-12-15,159922,6.226,6.244,6.2,6.222,6.222,1068502.51,664913.568
2022-12-16,159922,6.222,6.222,6.166,6.201,6.201,769679.56,476525.45
2022-12-19,159922,6.203,6.215,6.041,6.072,6.072,1524699.94,935151.412
2022-12-20,159922,6.035,6.056,5.988,5.999,5.999,1388164.92,836317.598
2022-12-21,159922,5.999,6.017,5.937,5.974,5.974,933138.51,558271.664
2022-12-22,159922,6.009,6.009,5.878,5.904,5.904,983768.23,585985.162
2022-12-23,159922,5.877,5.93,5.851,5.897,5.897,1431843.98,844135.134
2022-12-26,159922,5.912,5.98,5.897,5.955,5.955,1598655.12,951289.539
2022-12-27,159922,5.992,6.008,5.948,6.005,6.005,1027977.64,614914.686
2022-12-28,159922,6.004,6.014,5.971,5.989,5.989,2014920.27,1206538.19
2022-12-29,159922,5.97,6.028,5.959,5.986,5.986,1765260.78,1058263.785
2022-12-30,159922,6.05,6.05,5.974,5.993,5.993,1111043.28,665949.45
2023-01-03,159922,6.007,6.092,5.966,6.076,6.076,1826853.79,1104804.41
2023-01-04,159922,6.076,6.09,6.04,6.072,6.072,1318075.29,800381.112
2023-01-05,159922,6.1,6.15,6.073,6.13,6.13,868763.64,532187.042
2023-01-06,159922,6.152,6.178,6.119,6.137,6.137,1052895.75,647601.431
2023-01-09,159922,6.174,6.198,6.149,6.157,6.157,1344447.42,829874.772
2023-01-10,159922,6.175,6.178,6.138,6.166,6.166,874214.9,538555.866
2023-01-11,159922,6.182,6.196,6.133,6.146,6.146,1359958.26,838035.004
2023-01-12,159922,6.142,6.18,6.123,6.14,6.14,1236790.05,760836.594
2023-01-13,159922,6.165,6.191,6.139,6.19,6.19,1107273.14,681721.165
2023-01-16,159922,6.216,6.306,6.197,6.242,6.242,2021995.92,1268558.243
2023-01-17,159922,6.246,6.272,6.244,6.255,6.255,738415.56,462121.755
2023-01-18,159922,6.285,6.302,6.259,6.281,6.281,1226466.55,770816.211
2023-01-19,159922,6.28,6.343,6.257,6.337,6.337,1174874.94,740346.669
2023-01-20,159922,6.363,6.391,6.341,6.379,6.379,1226748.13,781816.448
2023-01-30,159922,6.47,6.488,6.403,6.406,6.406,1652878.59,1064765.306
2023-01-31,159922,6.406,6.442,6.395,6.418,6.418,876855.07,563298.752
2023-02-01,159922,6.42,6.496,6.418,6.485,6.485,1446361.04,934220.198
2023-02-02,159922,6.494,6.537,6.469,6.494,6.494,1408549.45,915093.121
2023-02-03,159922,6.475,6.49,6.397,6.471,6.471,1302581.77,838723.621
2023-02-06,159922,6.471,6.471,6.398,6.439,6.439,1050666.74,675448.546
2023-02-07,159922,6.438,6.448,6.395,6.436,6.436,1467451.36,942147.394
2023-02-08,159922,6.436,6.452,6.384,6.395,6.395,2110230.27,1354019.899
2023-02-09,159922,6.395,6.493,6.38,6.493,6.493,791398.68,510120.412
2023-02-10,159922,6.5,6.5,6.42,6.468,6.468,1732750.17,1119026.521
2023-02-13,159922,6.448,6.513,6.448,6.507,6.507,1418830.8,922368.24
2023-02-14,159922,6.551,6.551,6.495,6.526,6.526,1169316.3,761576.584
2023-02-15,159922,6.55,6.55,6.491,6.512,6.512,1160867.66,755854.469
2023-02-16,159922,6.512,6.565,6.383,6.436,6.436,1256907.9,817860.708
2023-02-17,159922,6.425,6.444,6.366,6.373,6.373,1081235.09,692542.062
2023-02-20,159922,6.376,6.474,6.347,6.471,6.471,1412339.34,907557.312
2023-02-21,159922,6.47,6.531,6.465,6.518,6.518,1092866.04,710577.352
2023-02-22,159922,6.511,6.531,6.477,6.514,6.514,765341.13,497585.065
2023-02-23,159922,6.512,6.53,6.453,6.49,6.49,859580.08,559104.784
2023-02-24,159922,6.508,6.508,6.433,6.476,6.476,906355.26,586725.541
2023-02-27,159922,6.432,6.476,6.411,6.439,6.439,741691.91,478123.757
2023-02-28,159922,6.455,6.496,6.417,6.496,6.496,784486.76,506636.29
2023-03-01,159922,6.494,6.548,6.471,6.531,6.531,777947.39,506998.568
2023-03-02,159922,6.531,6.546,6.502,6.518,6.518,885662.27,577368.565
2023-03-03,159922,6.525,6.532,6.473,6.518,6.518,988490.89,643103.704
2023-03-06,159922,6.524,6.545,6.491,6.524,6.524,649058.33,422793.718
2023-03-07,159922,6.518,6.527,6.422,6.422,6.422,729811.25,473195.924
2023-03-08,159922,6.422,6.442,6.4,6.425,6.425,933199.13,599271.195
2023-03-09,159922,6.429,6.434,6.388,6.415,6.415,891522.27,572009.814
2023-03-10,159922,6.4,6.4,6.327,6.341,6.341,588768.13,374325.781
2023-03-13,159922,6.339,6.38,6.312,6.377,6.377,656815.28,416737.884
2023-03-14,159922,6.383,6.383,6.266,6.321,6.321,814960.19,514609.217
2023-03-15,159922,6.349,6.386,6.342,6.353,6.353,923768.76,588121.877
2023-03-16,159922,6.306,6.349,6.266,6.28,6.28,824707.44,521588.273
2023-03-17,159922,6.325,6.373,6.292,6.32,6.32,985550.34,624342.78
2023-03-20,159922,6.32,6.334,6.286,6.296,6.296,879530.69,554733.592
2023-03-21,159922,6.302,6.364,6.302,6.36,6.36,861542.97,546447.273
2023-03-22,159922,6.365,6.402,6.365,6.393,6.393,579866.25,370586.824
2023-03-23,159922,6.392,6.431,6.381,6.429,6.429,513224.22,328761.772
2023-03-24,159922,6.469,6.469,6.412,6.438,6.438,768266.98,494145.702
2023-03-27,159922,6.462,6.462,6.398,6.437,6.437,813358.34,523249.79
2023-03-28,159922,6.448,6.456,6.409,6.425,6.425,851667.2,547570.787
2023-03-29,159922,6.485,6.485,6.381,6.398,6.398,647899.09,414734.703
2023-03-30,159922,6.399,6.428,6.356,6.425,6.425,990188.67,631997.019
2023-03-31,159922,6.45,6.475,6.425,6.471,6.471,642028.77,414237.18
2023-04-03,159922,6.471,6.557,6.471,6.541,6.541,917450.93,598786.15
2023-04-04,159922,6.545,6.55,6.517,6.548,6.548,794920.2,519656.311
2023-04-06,159922,6.498,6.56,6.498,6.545,6.545,801647.98,524806.587
2023-04-07,159922,6.555,6.606,6.545,6.601,6.601,823830.64,542794.896
2023-04-10,159922,6.634,6.634,6.541,6.552,6.552,891638.46,586606.305
2023-04-11,159922,6.533,6.568,6.53,6.552,6.552,690182.66,451798.433
2023-04-12,159922,6.569,6.583,6.547,6.579,6.579,816758.85,536584.92
2023-04-13,159922,6.579,6.585,6.543,6.552,6.552,632313.18,414993.553
2023-04-14,159922,6.58,6.588,6.54,6.566,6.566,489318.66,321025.94
2023-04-17,159922,6.566,6.598,6.553,6.597,6.597,634345.96,417554.102
2023-04-18,159922,6.617,6.617,6.556,6.584,6.584,677019.66,445352.225
2023-04-19,159922,6.599,6.599,6.541,6.552,6.552,478994.18,314951.477
2023-04-20,159922,6.566,6.566,6.525,6.55,6.55,656551.88,428993.175
2023-04-21,159922,6.563,6.563,6.393,6.396,6.396,850497.6,550665.628
2023-04-24,159922,6.4,6.403,6.328,6.347,6.347,936321.57,596406.634
2023-04-25,159922,6.373,6.373,6.183,6.255,6.255,1087049.21,681426.442
2023-04-26,159922,6.24,6.304,6.239,6.273,6.273,1351500.23,848338.657
2023-04-27,159922,6.279,6.337,6.26,6.306,6.306,720780.2,454113.625
2023-04-28,159922,6.33,6.394,6.28,6.388,6.388,719716.09,457072.381
2023-05-04,159922,6.375,6.397,6.37,6.397,6.397,736707.25,470349.654
2023-05-05,159922,6.41,6.41,6.31,6.344,6.344,731329.36,463511.523
2023-05-08,159922,6.345,6.404,6.34,6.381,6.381,665342.42,424012.133
