date,588000__588000_DTE30_ATM_Q100_Hold__daily_return,588000__588000_DTE30_D40_Q100_Hold__daily_return,588000__588000_DTE30_D40_Q50_Hold__daily_return,588000__588000_DTE30_OTM5up_Q100_Hold__daily_return,588000__588000_DTE30_OTM5up_Q50_Hold__daily_return,588000__588000_ETF_BuyHold__daily_return
2023-06-30,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-03,0.001426771997316889,0.001426771997316889,0.0021392415119664276,0.002281877688693701,0.0025667943576548335,0.002851711026615966
2023-07-04,0.004274217657885382,0.004274217657885382,0.0049807107246773175,0.005691706443789579,0.005689455117629416,0.005687203791469253
2023-07-05,-0.0027427726168203215,-0.0027427726168203215,-0.006083921652425328,-0.006414093498995688,-0.007919582093513011,-0.009425070688030335
2023-07-06,-0.0006638694055073335,-0.0006638694055073335,-0.0017591468816308686,-0.0020885440133118216,-0.0024714841855331127,-0.0028544243577544037
2023-07-07,-0.004934877412188232,-0.004934877412188232,-0.007715530309147567,-0.008371660634948652,-0.009433921920527777,-0.010496183206106902
2023-07-10,0.002479675601207987,0.002479675601207987,0.0022041579548951473,0.0022065199017542447,0.0020675801051682763,0.0019286403085823078
2023-07-11,0.0045665391127642785,0.0045665391127642785,0.0056518932329943095,0.006796434533009377,0.006766840943116859,0.00673724735322434
2023-07-12,-0.008807449966226288,-0.008807449966226288,-0.012051908539518486,-0.013691266132162205,-0.014493816622486444,-0.015296367112810683
2023-07-13,0.006019352217378815,0.006019352217378815,0.007378608147524335,0.008290232159275712,0.008514048118472783,0.008737864077669855
2023-07-14,-0.0007597887502353018,-0.0007597887502353018,-0.0018235902365227874,-0.0021989255093906035,-0.0025431586161004383,-0.002887391722810273
2023-07-17,-0.003801832340619482,-0.003801832340619482,-0.005761920031313594,-0.0068987627643878335,-0.00731038524319777,-0.007722007722007707
2023-07-18,-0.0010494938934959563,-0.0010494938934959563,-0.001983890915619624,-0.002894452627169364,-0.0029063702824563276,-0.0029182879377432913
2023-07-19,-0.004393403495668857,-0.004393403495668857,-0.00512353101612717,-0.005708947778996887,-0.005781303157791184,-0.005853658536585482
2023-07-20,-0.009976744113541103,-0.009976744113541103,-0.010876497670116947,-0.011580771403941759,-0.011678511315317275,-0.011776251226692791
2023-07-21,-0.006492095510352569,-0.006492095510352569,-0.0067217180630213536,-0.006695118293879032,-0.006823229454784585,-0.006951340615690138
